R_nm,orientation,status,note
8,x,PASS_SHORT_DYNAMIC,"principal strain axes [0.046,-0.022,-0.017], identity rotation; fixed-cell periodic; 128 steps"
8,y,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
8,z,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
10,x,BRANCH_PASS_SHORT_DYNAMIC,"principal strain axes [0.046,-0.022,-0.017], identity rotation; 256 steps, low/high xAg bracket, fixed-cell periodic; not equilibrium"
10,y,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
10,z,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
12,x,BRANCH_PASS_SHORT_DYNAMIC,"principal strain axes [0.046,-0.022,-0.017], identity rotation; center xAg=0.0062, 256 steps, fixed-cell periodic; not equilibrium"
12,y,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
12,z,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
14,x,BRANCH_PASS_SHORT_DYNAMIC,"principal strain axes [0.046,-0.022,-0.017], identity rotation; center xAg=0.0062, 256 steps, fixed-cell periodic; not equilibrium"
14,y,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
14,z,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
20,x,BRANCH_PASS_SHORT_DYNAMIC,"principal strain axes [0.046,-0.022,-0.017], identity rotation; center xAg=0.0062, 256 steps, fixed-cell periodic; not equilibrium"
20,y,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
20,z,NOT_TESTED_VARIANT,"identity rotation is the frozen production variant; alternative axis permutations not run"
