"object_name","symbol","file","line_or_location","code_expression","physical_meaning_claimed","composition_variable_used","reference_state_used","unit","phase_or_branch","notes"
"PbTe SER-based Gibbs endpoint","G_A","thermo_utils.h","339-341","G_PbTe_Solid(T)=(-76063.2138+9.67716633*T)+GHSER_Pb(T)+GHSER_Te(T)","CALPHAD/SGTE pseudo-binary PbTe endpoint","xB only in mixture functions","SGTE SER Pb + SER Te plus PbTe line-compound term","J/mol PbTe growth unit","alpha/PbTe endpoint","Compatible with CALPHAD pseudo-binary; not a DFT Ag-interstitial reference."
"Ag2Te SER-based Gibbs endpoint","G_B","thermo_utils.h","345-348","G_Ag2Te_Solid(T)=3*((-10128.93-12.645115*T)+(2/3)GHSER_Ag+(1/3)GHSER_Te)","CALPHAD/SGTE pseudo-binary Ag2Te endpoint","xB only in mixture functions","SGTE SER Ag + SER Te plus Ag2Te line-compound term","J/mol Ag2Te growth unit","beta/Ag2Te endpoint","This endpoint defines B=Ag2Te, not interstitial Ag."
"alpha PbTe chemical potential","mu_A","thermo_utils.h","362-367,437-440","mu_A_dimless=mu_PbTe_raw(T,xB)/mu_reference_scale; mu_PbTe_calphad=G_PbTe+RT ln(1-xB)+L*xB^2","PbTe component chemical potential in pseudo-binary alpha regular solution","xB = x_Ag2Te growth-unit fraction","CALPHAD PbTe-Ag2Te pseudo-binary","J/mol raw; dimensionless in solver","alpha","Convex extrapolation can replace raw CALPHAD above X_LIMIT_CONVEX=0.09 in mu_PbTe_raw."
"alpha Ag2Te chemical potential","mu_B","thermo_utils.h","370-375,443-445","mu_B_dimless=mu_Ag2Te_raw(T,xB)/mu_reference_scale; mu_Ag2Te_calphad=G_Ag2Te+RT ln(xB)+L*(1-xB)^2","Ag2Te component chemical potential in pseudo-binary alpha regular solution","xB = x_Ag2Te growth-unit fraction","CALPHAD PbTe-Ag2Te pseudo-binary","J/mol raw; dimensionless in solver","alpha/B component","Not a metallic Ag chemical potential."
"regular-solution interaction","L(T)","thermo_utils.h","356-358","L=41212.9-18.05*T","Pseudo-binary regular-solution interaction parameter","xB","CALPHAD-derived pseudo-binary model","J/mol","alpha regular solution","Same expression appears in Unit_Psedobinary.py and plot_step41D."
"alpha free-energy surrogate","g_alpha","cuda_kernels.cu","835-843; main_cuda.cu 5355-5362","g_alpha=(1-xB_alpha)*muA+xB_alpha*muB","Local alpha molar free-energy surrogate used in eta RHS and host diagnostics","xB_alpha","CALPHAD PbTe-Ag2Te pseudo-binary","dimensionless in kernel; J/mol in host helper","alpha","Host helper ignores its mu_reference_scale argument and returns raw J/mol; kernel uses dimensionless mu_A/mu_B."
"beta endpoint free energy/reference","mu0_compound or G_Ag2Te endpoint","main_cuda.cu","4458-4462; thermo_utils.h 513-518","mu0_compound=v_weighted_mu_compound(muA_eq,muB_eq,v_A,v_B); default v_A=0,v_B=1 so beta endpoint follows muB_eq/G_Ag2Te endpoint treatment","Line-compound beta/Ag2Te reference in phi chemical drive","xB_beta=1 storage, v_B=1","CALPHAD Ag2Te endpoint/equilibrium compound chemical potential","dimensionless in solver","beta","There is no continuous f_beta(x,T) branch in current solver."
"phi chemical driving force","Delta_mu_phi","cuda_kernels.cu","437-449","delta_mu=mu0_compound-v_A*muA-v_B*muB-elastic_shift_dimless; partial_g_bulk=c_bulk*h'(phi)*(delta_mu-c_bulk*mu_total*volume_term)","Chemical term driving alpha-beta phi evolution","xB or xB_alpha field","PF pseudo-binary CALPHAD, nondimensionalized by mu_reference_scale","dimensionless energy-density derivative","beta/phi","For default v_A=0,v_B=1 this is Ag2Te endpoint reaction drive, not Ag-interstitial drive."
"bulk excess energy diagnostic","g_bulk_hat","cuda_kernels.cu","647-677","g_bulk_hat=(1-h)*[(1-xB)muA+xB*muB]+h*mu0_compound; out=g_bulk_hat-g_bulk0_hat","Reference-subtracted bulk energy diagnostic","xB","PF pseudo-binary CALPHAD","dimensionless","alpha/beta diagnostic","Baseline is g_bulk0_hat at xB_ref; not DFT."
"GP phase fraction","h_GP","phase_functions.h","27-40","h_GP=(1-h_phi)*h_eta","Volume/storage weight of GP state","eta and phi; storage uses gp_xB_fixed","PF phase-field interpolation","dimensionless fraction","GP","Nested under non-beta region; h_alpha+h_GP+h_beta=1."
"alpha phase fraction","h_alpha","phase_functions.h","27-40","h_alpha=(1-h_phi)*(1-h_eta)","Volume/storage weight of matrix alpha","eta and phi; alpha composition xB_alpha","PF phase-field interpolation","dimensionless fraction","alpha","Used in xBtot_gp storage."
"beta phase fraction","h_beta","phase_functions.h","27-40","h_beta=h_phi","Volume/storage weight of beta Ag2Te state","phi; storage xB_beta=1","PF phase-field interpolation","dimensionless fraction","beta","Two-phase storage uses v_B; GP storage hard-codes h_beta contribution as 1."
"GP fixed composition","x_B^GP","main_cuda.cu","4641-4644; pf_params.h 19-22","P->gp_xB_fixed=0.35 default","Effective B=Ag2Te fraction stored by GP eta state","xB_GP in PF pseudo-binary units","Mechanical mixture / pseudo-binary reference","dimensionless B growth-unit fraction","GP","No code evidence maps this value from x_AgI; it is a pseudo-binary effective composition."
"GP surrogate free energy","g_GP","cuda_kernels.cu","839-843; main_cuda.cu 5365-5369","non-raw eta: g_gp=(1-xB_gp)*muA_gp+xB_gp*muB_gp-gp_delta_g0; raw ref: mu_GP0=(1-xB_GP)G_PbTe+xB_GP*G_Ag2Te-delta_g_stab","Surrogate GP branch/reference","xB_GP in PF pseudo-binary units","CALPHAD mechanical mixture, not DFT Ag_i","dimensionless or J/mol depending branch","GP","Critical risk: current GP branch is not an independent DFT/CE f_GP(x,T)."
"GP raw reaction drive","minus_Delta_mu_r_GP","cuda_kernels.cu","808-828,915-934","nu_A*mu_PbTe_calphad(T,xB_alpha)+nu_B*mu_Ag2Te_calphad(T,xB_alpha)-gp_mu_reference_raw","Raw stoichiometric GP eta reaction drive","xB_alpha plus nu_A/nu_B; default 0.65/0.35","CALPHAD alpha chemical potentials minus mechanical-mixture GP reference","J/mol if debug raw; dimensionless otherwise","GP eta","This is the likely source of positive/negative GP drive; it is still CALPHAD pseudo-binary, not DFT Ag-interstitial."
"GP eta chemical drive","dgbulk_deta","cuda_kernels.cu","806-865","raw: c_ref*(1-h_phi)*h_eta'*(-minus_delta_mu_r_gp); nonraw: c_ref*(1-h_phi)*h_eta'*(g_gp-g_alpha)","Chemical contribution to eta RHS","xB_alpha and gp_xB_fixed","PF pseudo-binary CALPHAD/mechanical mixture","dimensionless energy-density derivative","GP eta","Uses matrix xB_alpha. Direct DFT Ag_i energies cannot be inserted without a mapping and reference conversion."
"eta double-well term","gp_W_eta*g_eta'","cuda_kernels.cu","799-865,947","gp_W_eta*g_prime(eta)","Eta barrier/interface local double-well term","eta","STO/PF interface parameterization","dimensionless energy-density derivative","GP eta","Not a thermodynamic branch reference."
"phi double-well term","W*g_phi'","cuda_kernels.cu","424-433","f_phi=W*g_prime(phi)","Phi barrier/interface local double-well term","phi","STO/PF interface parameterization","dimensionless energy-density derivative","beta phi","Not a chemical free-energy branch."
"GP elastic derivative","dgel_deta","cuda_kernels.cu","845-863","gp_elastic_derivative_scale*compute_dgel_deta_gp_point(...)","Elastic contribution to eta RHS","phi, eta, xB_alpha","PF elastic energy reference","dimensionless derivative","GP eta","Mechanical effect, not chemical reference."
"beta/phi elastic derivative","dgel_dphi","cuda_kernels.cu","453-470 and following","-sigma:deps0_dphi + stiffness terms","Elastic contribution to phi RHS","phi, xB, eta in GP mode","PF elastic energy reference","dimensionless derivative","beta phi","Uses Ag2Te/PbTe tensor difference for beta and optional GP isotropic strain."
"Y logit variable","Y","thermo_utils.h","520-543; main_cuda.cu 1804-1808","Y=log(xB/(1-xB)); xB=sigmoid(Y) clamped by xB_eps/Y_clip","Numerical variable for alpha B composition","xB_alpha","PF pseudo-binary alpha composition","dimensionless","alpha transport","Y is not an Ag-interstitial occupancy."
"xB alpha field","x_B_alpha","cuda_kernels.cu","765-801; main_cuda.cu 2050-2060","xB_alpha=clamp_eps(xB_alpha_r[idx])","Local matrix B=Ag2Te growth-unit fraction","xB_alpha","PF pseudo-binary alpha composition","dimensionless","alpha","Named xB_r in many two-phase routines; in GP mode it means alpha composition."
"two-phase total storage","xBtot","main_cuda.cu","1800-1808,7425-7435","xBtot=(1-h_beta)*xB_alpha+h_beta*v_B; host uses h_beta contribution as 1 for default v_B=1","Total conserved B storage in two-phase model","xB_alpha plus h_beta","PF pseudo-binary B growth unit","dimensionless","alpha/beta","Ag2Te growth-unit storage, not atomic Ag count unless separately converted."
"GP total storage","xBtot_gp","main_cuda.cu","2057-2061,7438-7453","xBtot_gp=h_alpha*xB_alpha+h_GP*gp_xB_fixed+h_beta","Total conserved B storage in GP-zone mode","xB_alpha, gp_xB_fixed, beta=1","PF pseudo-binary B growth unit","dimensionless","alpha/GP/beta","This is the explicit GP/beta storage bookkeeping."
"GP storage exact Y update","storage_exact","main_cuda.cu","14476-14606; cuda_kernels.h 691-704","launch_gp_storage_exact_Y_update_kernel(...,gp_xB_fixed,...)","Local update that solves alpha xB/Y to match storage-form mass target after phi/eta changes","xBtot_gp, xB_alpha, gp_xB_fixed","PF pseudo-binary conservation","dimensionless storage","GP transport","Conservation is in B growth-unit units."
"GP picard storage Y update","picard_storage","main_cuda.cu","14476-14616; cuda_kernels.h 713-728","launch_gp_picard_storage_Y_update_kernel(...,gp_xB_fixed,...)","Iterative storage-consistent update for GP-zone Y","xBtot_gp, xB_alpha, gp_xB_fixed","PF pseudo-binary conservation","dimensionless storage","GP transport","Alternative to storage_exact; default is old_rhs unless overridden."
"old GP Y RHS","old_rhs/conservative_y_rhs","cuda_kernels.cu","2164-2195 and following; main_cuda.cu 14521-14539","compute_Y_rhs_gp_kernel or conservative variant with xB_GP","Y-equation source terms from changing phase storage","Y/xB_alpha plus h_alpha/h_GP/h_beta","PF pseudo-binary conservation","dimensionless per time","GP transport","More fragile than direct storage update; diagnostics exist."
"beta driving force diagnostic","minus_Delta_mu_r_beta","plot_step41D_gp_beta_driving_forces.py","90-91,235-258","mu_Ag2Te_calphad(T,xB)-G_Ag2Te_Solid(T)","Direct beta endpoint formation drive comparison","xB","CALPHAD Ag2Te endpoint","J/mol","beta","Diagnostic script only; note possible copied GHSER_Pb typo in this script."
"GP/beta comparison drive diagnostic","minus_Delta_mu_r_GP","plot_step41D_gp_beta_driving_forces.py","79-87,231-258","nu_A*mu_PbTe_calphad+nu_B*mu_Ag2Te_calphad-mu_GP0_mech","Script-level GP drive using mechanical mixture reference","xB","CALPHAD pseudo-binary mechanical mixture","J/mol","GP diagnostic","Diagnostic, not DFT/CE GP branch."
"DFT Ag-interstitial variable","x_AgI","missing requested sources","Ag_Int and ce_project missing","x_AgI=N_Ag/N_PbTe_FU per user request, but no local source found","DFT/CE Ag interstitial loading variable","x_AgI","E(Pb32Te32)+n mu_Ag_metal per user request","dimensionless","DFT Ag_i branch","Required DFT/CE files are absent from this workspace, so no code/data line could be audited."
"interstitial site occupancy","y_I","missing requested sources","Ag_Int and ce_project missing","y_I=x_AgI/M with M=2 per user request, but no local source found","Ag interstitial site occupancy","x_AgI/M","DFT/CE Ag_i branch","dimensionless","DFT Ag_i branch","No local mapping from y_I to PF xB was found."
"documented alpha free-energy branch","f_alpha(x,T)","reports/gp_v03_phase_field_audit.md","17","v0.3 requires f_alpha(x,T); current implementation uses CALPHAD/regular-solution mu_A/mu_B surrogate","Target alpha thermodynamic branch","x_B^alpha","CALPHAD PbTe-Ag2Te pseudo-binary","J/mol or density after scaling","alpha","Implemented only through chemical-potential/free-energy surrogate, not as a separately tabulated f_alpha object."
"documented GP free-energy branch","f_GP(x,T)","reports/gp_v03_phase_field_audit.md","11,17,39,48","report states independent f_GP(x,T) is missing; current GP uses mechanical mixture or alpha-at-x_GP surrogate","Target GP thermodynamic branch","intended x_B^GP or effective GP composition","should be DFT/CE/coherent GP reference but absent","not implemented","GP","Critical gap for DFT/PF consistency; no DFT Ag_i f_GP branch found locally."
"documented beta free-energy branch","f_beta(x,T)","reports/gp_v03_formula_recovery.md","71","beta is line-compound/endpoint treatment, not full f_beta(x,T)","Target beta branch in v0.3 language","x_B^beta, currently endpoint 1","CALPHAD Ag2Te endpoint","J/mol or dimensionless","beta","Current code is acceptable only as line-compound approximation."
"tangent GP nucleation drive","Delta_g_alpha_to_GP","reports/gp_v03_formula_recovery.md","119-138","Delta g = f_GP(x_GP,T)-f_alpha(x_alpha,T)-mu_alpha*(x_GP-x_alpha); code replaces f_GP with f_alpha(x_GP)","Documented tangent-distance nucleation drive","x_alpha and x_GP","Should require independent f_GP; current uses pseudo-binary surrogate","J/mol","alpha->GP","Not v0.3 compliant unless f_GP=f_alpha by assumption."
"grand-potential equivalent drive","Delta_omega","reports/gp_zone_experimental_calibration_thermodynamic_driving_force_v0.3.md","352-379","psi_i(x,T;mu_tilde)=f_i(x,T)-mu_tilde*x; tangent distance and grand-potential forms claimed equivalent","Documented grand-potential form for branch comparison","x_B and exchange chemical potential","Requires common reference among f_i branches","J/mol","alpha/GP/beta comparison","No explicit Delta_omega implementation found in CUDA; unsafe if f_GP reference is not aligned."
"Ag conservation variable","Ag conservation variable","main_cuda.cu","7425-7453","visible conserved storage is xBtot/xBtot_gp in B growth-unit units, not atomic Ag","Requested Ag conservation bookkeeping","xBtot or xBtot_gp","PF pseudo-binary storage","dimensionless B units","transport/storage","Atomic Ag conservation would be 2*B units only under Ag2Te mapping; no separate Ag_i field."
"Ag2Te growth unit variable","B growth unit","Unit_Psedobinary.py","357-365,421-423","v_A=0, v_B=1; comments say xB=x_Ag2Te","Pseudo-binary component B is Ag2Te formula/growth unit","xB/xAg2Te","CALPHAD PbTe-Ag2Te pseudo-binary","dimensionless mole fraction","alpha/beta/GP surrogate","This is the dominant code basis and must not be conflated with x_AgI."
