path,git_status,change_type,category,recommended_commit_group,reason,risk_level,notes
README.md, M,modified,default_path_migration,Commit 2 — path migration: route validation and nucleation outputs to reports/,Changes default output paths and/or docs to prefer reports/ over root.,medium,Primary script/doc path-default migration target
jobs/_site_env.sh, M,modified,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
main_cuda.cu, M,modified,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,high,Functional workflow or runtime code; keep out of cleanup commit
pf_params.h, M,modified,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,high,Functional workflow or runtime code; keep out of cleanup commit
CNT_SCAN_WORKSTATION_RUN/cuda_nucleus_compatibility/cuda_insertion_compatibility_table.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
CNT_SCAN_WORKSTATION_RUN/cuda_nucleus_compatibility/cuda_nucleus_usability_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
CNT_SCAN_WORKSTATION_RUN/cuda_nucleus_compatibility/geometry_validity_report.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
CNT_SCAN_WORKSTATION_RUN/cuda_nucleus_compatibility/physics_consistency_report.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
CNT_SCAN_WORKSTATION_RUN/cuda_nucleus_templates/metadata.json,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
analyze_nucleation_event_observables.py,??,untracked,default_path_migration,Commit 2 — path migration: route validation and nucleation outputs to reports/,Changes default output paths and/or docs to prefer reports/ over root.,medium,Primary script/doc path-default migration target
cnt_scan_pipeline.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
coupling_interface.json,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
normalize_nucleation_physical_units.py,??,untracked,default_path_migration,Commit 2 — path migration: route validation and nucleation outputs to reports/,Changes default output paths and/or docs to prefer reports/ over root.,medium,Primary script/doc path-default migration target
nucleus_catalog.json,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
nucleus_catalog.schema.json,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
nucleus_generator/cuda_nucleus_builder.h,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_generator/nucleus_generation_report.md,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_generator/nucleus_generator.cpp,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_generator/nucleus_resampler.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
