path,artifact_type,scientific_role,temperature_or_scope,referenced_by,sha256,size_bytes,acceptance_status,provenance,portability_status,notes
data/nucleus_library/nucleus_library.csv,seed_library,canonical nucleation seed/reference table,multi-T T350-T450,main_cuda.cu; tools/analysis/validate_nucleus_library.py,c93f8089d936db76afac777b2e4c2917aca36e3ef54c449d401cf8cf21d0ac8d,6244,VALIDATION_REFERENCE_ONLY,prior read-only Commit 3 candidate audit,PORTABLE_REFERENCE,"CSV/JSON IDs agree; entries currently production_valid=false and bridge_validation_status=MISSING; CRLF normalized to LF"
data/nucleus_library/nucleus_library.json,seed_library,JSON mirror of canonical nucleation seed/reference table,multi-T T350-T450,tools/analysis/validate_nucleus_library.py; tools/analysis/audit_seed_dx_conversion.py,3570b3b31a337a87982096da489bbf5294a297b3c67e06948a6a7419b38a7f96,27201,VALIDATION_REFERENCE_ONLY,prior read-only Commit 3 candidate audit,PORTABLE_REFERENCE,"Schema v1; kept synchronized with canonical CSV"
data/physical_params/D_B_alpha_Ag_in_PbTe_SI.csv,physical_input,Ag diffusion Arrhenius reference input,T350-T450,tools/analysis/build_physical_cnt_parameter_closure.py,8cfa7a410e519228eebd0df5bb594867665b1895737927a52f8f9247c3144296,800,ACCEPTED_PHYSICAL_INPUT,prior read-only Commit 3 candidate audit,PORTABLE_INPUT,"Compact six-row SI table with T_C, T_K, D0, Q and source; CRLF normalized to LF"
nucleus_catalog.json,nucleation_metadata,CNT catalog/provenance metadata with optional runtime candidates,multi-T catalog,main_cuda.cu; nucleus_selector.py; nucleus_orchestrator.py,2855bb496e253dba8704b17b73565abb4a4ca1f90d0621163130550ea13ea681,66936,VALIDATION_REFERENCE_ONLY,prior read-only Commit 3 candidate audit,PORTABLE_REFERENCE,"Parses as schema v1; candidate Results paths are provenance-only and may be absent in a clean clone"
selected_nucleus.json,nucleation_metadata,selector result and explicit fallback provenance,T400 selector state,nucleus_selector.py; nucleus_geometry_mapper.py,84164fe06f3ca46d92994e8e97375d7048bdef4fe0c40baa39244740cdeecb70,2376,VALIDATION_REFERENCE_ONLY,prior read-only Commit 3 candidate audit,PORTABLE_REFERENCE,"Selected state is fallback_analytic_sphere; fallback_triggered=true; not a production seed acceptance"
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,parameter_overlay,T400 after-quench GP reference overlay,T400,main_cuda.cu,, ,VALIDATION_REFERENCE_ONLY,untracked candidate audit,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,"Not committed: staging Zr library and runtime profile cache are untracked"
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,parameter_overlay,T380 physical CNT reference overlay,T380,main_cuda.cu,, ,VALIDATION_REFERENCE_ONLY,untracked candidate audit,BLOCKED_EXTERNAL_RUNTIME_CACHE,"Not committed: staging library plus untracked Results cache"
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,parameter_overlay,T400 physical CNT reference overlay,T400,main_cuda.cu,, ,VALIDATION_REFERENCE_ONLY,untracked candidate audit,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,"Not committed: required T400 dynamic-continue row is staging-only"
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,parameter_overlay,T400 physical CNT sGP reference overlay,T400,main_cuda.cu,, ,VALIDATION_REFERENCE_ONLY,untracked candidate audit,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,"Not committed: required Zr/runtime data is not canonical"
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,parameter_overlay,T450 physical CNT reference overlay,T450,main_cuda.cu,, ,VALIDATION_REFERENCE_ONLY,untracked candidate audit,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,"Not committed: required T450 dynamic-continue row is staging-only"
physical_units_config.json,run_census,Historical physical-unit runtime census,multi-run,none,, ,EXCLUDED_EXTERNAL_DEPENDENCY,untracked candidate audit,BLOCKED_EXTERNAL_PATHS,"Not committed: provenance contains machine-specific absolute parameter references"
