pattern_id,target,section,function,claim_level,safe_pattern,evidence_required,do_not_use_when
V3P01,BOTH,Introduction,experimental_state,FRAMING,"[Dataset] identifies an interface-rich low-κ state that evolves toward [later response] over [trajectory].","same-dataset microstructure and κ evidence","calling it a zT optimum"
V3P02,BOTH,Introduction,window_definition,STRICT,"Here the window denotes a finite-lifetime microstructure–transport state characterized by [interface metric], not an arbitrarily selected time interval.","traceable state variables","no interface/microstructure connection"
V3P03,BOTH,Introduction,observation_gap,FRAMING,"Because [methods] probe different object classes and visibility windows, the resolved population is not uniquely identifiable.","method-specific object identities","assuming all Ag-rich objects are β"
V3P04,BOTH,Methods,ensemble,STRICT,"We construct experimentally admissible resolved-β populations constrained by [inventory, chemistry and observation windows].","fixture and inventory contracts","calling the state reconstructed"
V3P05,BOTH,Methods,conditioning,STRICT,"The 6 h state conditions post-nucleation propagation and is not used as evidence of absolute nucleation prediction.","data-role ledger","initial-state provenance absent"
V3P06,BOTH,Methods,dataset_boundary,STRICT,"Sheskin and Yu are complementary but non-interchangeable: [roles].","separate source ledgers","building a merged time series"
V3P07,BOTH,Methods,authority,STRICT,"All Case 001–003 values are complete-checkpoint conditional analyses pending [schema and merge-aware] authority closure.","checkpoint and failure artifacts","after authority is formally frozen"
V3P08,BOTH,Results,controlled_comparison,BOUNDED,"At fixed initial PSD, inventory and thermodynamic conditions, random realization changes [structural responses].","identical fixtures except realization","designed architecture differs"
V3P09,BOTH,Results,spatial_sensitivity,BOUNDED,"The [M6/survival] spread shows that the coarsening pathway is sensitive to random spatial realization.","three-case spread and lineage","claiming ensemble convergence"
V3P10,BOTH,Results,thermal_robustness,BOUNDED,"The frozen V2 interface-driven recovery varies by only [value] across the examined realizations.","same frozen transport contract","generalizing to all transport channels"
V3P11,BOTH,Results,contrast,MECHANISTIC,"The coarsening pathway is spatially sensitive, whereas the modeled thermal response is comparatively robust.","paired structural and thermal spread","quantity identity omitted"
V3P12,ACTA,Discussion,psd_role,PARTIAL,"PSD defines the available size hierarchy for curvature-driven competition.","polydisperse population and fate evidence","reporting a between-PSD effect size"
V3P13,ACTA,Discussion,space_role,BOUNDED,"Spatial organization selects the survival pathway by altering local competition and capture zones.","fixed-PSD realizations","named causal descriptor untested"
V3P14,BOTH,Discussion,sv_role,CONTRACT_BOUNDED,"Within the frozen V2 contract, loss of interfacial area sets the leading modeled thermal recovery.","Sv-linked interface equation and output","claiming unique total-κ control"
V3P15,BOTH,Discussion,path_outcome,MECHANISTIC,"Variables controlling the coarsening pathway are not identical to those controlling its thermal consequence.","paired pathway/outcome analysis","only one nominal run"
V3P16,BOTH,Discussion,descriptor,BOUNDED,"Sv+M6 compresses the tested full-PSD response better than Nv+Rmean or Sv alone, while full PSD remains authoritative.","descriptor audit","calling moments unique sufficient statistics"
V3P17,BOTH,Discussion,residual,CAUTIOUS,"The remaining discrepancy motivates additional unresolved-population or defect-state contributions without identifying a unique mechanism.","bounded residual and candidate evidence","assigning mechanism shares"
V3P18,ACTA,Discussion,yu_context,CAUTIOUS,"Yu's AQ→48 h endpoints show broader Ag redistribution among [reservoirs], complementing rather than extending Sheskin's trajectory.","Yu source evidence","splicing datasets"
V3P19,BOTH,Discussion,processing_test,PROPOSED,"The identified sensitivities make thermal history and elastic bias testable routes for extending the interface-rich state.","mechanism hypothesis","saying stabilization demonstrated"
V3P20,ACTA,Conclusion,punchline,BOUNDED,"Microstructure selects the pathway; interfacial area sets the modeled thermal outcome.","frozen scope and authority","omitting model-contract qualifier elsewhere"
V3P21,BOTH,Conclusion,processing_target,IMPLICATION,"The processing target is the lifetime of the interface-rich low-κ state rather than a unique precipitate arrangement.","pathway robustness result","prescribing an untested process"
V3P22,NPJ,Discussion,capability,BOUNDED,"The workflow propagates admissible latent-state uncertainty into a bounded kinetic and transport response.","versioned end-to-end artifacts","archive/operator incomplete at submission"
V3P23,NPJ,Discussion,transfer,CAUTIOUS,"Transfer requires system-specific thermodynamics, object operators and transport contracts.","explicit interface list","claiming general validation"
V3P24,BOTH,Abstract,primary_punchline,BOUNDED,"PSD and spatial organization determine how the population coarsens, whereas interfacial-area loss determines how the modeled window closes.","all claim boundaries disclosed","using as production-authoritative before rerun"
