file_path,old_version,new_version,changed,change_summary,evidence_status,unresolved_dependency,git_hash
paper_writing_guidance_package_v3/00_package_scope_v3.md,paper_writing_guidance_package_v2/00_package_scope.md,V3,true,"new authority scope and conditional-status vocabulary",MIXED,"production authority; thermodynamic contract",8b9c5e96f9dbb43fa44cccb66dd215710394a4de
paper_writing_guidance_package_v3/01_frozen_story_v3_metastable_low_k_window.md,paper_writing_guidance_package_v2/01_frozen_story_v2.md,V3,true,"reframed around metastable low-k window and pathway-outcome separation",CONDITIONAL,"Case001-003 authority; H_obs; thermodynamics; thermal identity",8a4a920a247ab7b1a1cedb090094be77f37e2239
paper_writing_guidance_package_v3/02_acta_oriented_manuscript_blueprint_v3.md,paper_writing_guidance_package_v2/02_acta_oriented_manuscript_blueprint.md,V3,true,"material-first Acta architecture with positive conclusion",CONDITIONAL,"authority; designed controls; finite size",ba9b5e1fe5ff40ffc4115ab32c860ee1d79c7d4a
paper_writing_guidance_package_v3/03_npj_oriented_manuscript_blueprint_v3.md,paper_writing_guidance_package_v2/03_npj_oriented_manuscript_blueprint.md,V3,true,"admissible-ensemble uncertainty propagation without software-only drift",CONDITIONAL,"operator; archive; transfer; all21",566a478ba1f290ce467d586691127e276a4587a0
paper_writing_guidance_package_v3/04_section_by_section_writing_guide_v3.md,paper_writing_guidance_package_v2/04_section_by_section_writing_guide.md,V3,true,"aligned every section to one story and evidence level",MIXED,"named per section",2463784854d620543f72932a0de1f855794bcb14
paper_writing_guidance_package_v3/05_introduction_argument_map_v3.md,paper_writing_guidance_package_v2/05_introduction_argument_map.md,V3,true,"low-k window to observation gap to ensemble to processing chain",CONDITIONAL,"H_obs and authority qualifier",7c0aa136a2552d42306974d498ef2a1bf4fbcd31
paper_writing_guidance_package_v3/06_abstract_blueprints_v3.md,paper_writing_guidance_package_v2/06_abstract_blueprints.md,V3,true,"Acta npj 150-word 250-word and graphical abstract texts",CONDITIONAL,"production-authority numbers",920b91fbfbbf673eac40bd7e21998cda6081f32c
paper_writing_guidance_package_v3/07_title_strategy_v3.md,paper_writing_guidance_package_v2/07_title_strategy.md,V3,true,"12 categorized titles with evidence gates",MIXED,"conditional titles need P0 closure",4a8e27ba66f4028c219dd629982a8cdc0484bdf8
paper_writing_guidance_package_v3/08_claim_evidence_language_guide_v3.md,paper_writing_guidance_package_v2/08_claim_evidence_language_guide.md,V3,true,"exact claims sources statuses verbs and forbidden upgrades",MIXED,"per-claim dependencies",34c4870ceda0518ba17c92c7cf436cff5af04294
paper_writing_guidance_package_v3/09_calibration_conditioning_validation_language_v3.md,paper_writing_guidance_package_v2/09_calibration_conditioning_validation_language.md,V3,true,"updated legacy/exact and checkpoint/postdiction roles",MIXED,"publication thermodynamic contract",a2e356a1ee24f475e8e25cdafa4cb299f1238f2f
paper_writing_guidance_package_v3/10_observation_operator_writing_plan_v3.md,paper_writing_guidance_package_v2/10_observation_operator_writing_plan.md,V3,true,"four object classes and minimum executable operator tests",PENDING_IMPLEMENTATION,"H_obs implementation and sensitivity",fc21dcdd025943b92382711fe8846a2f642daed5
paper_writing_guidance_package_v3/11_bounded_mechanism_failure_writing_plan_v3.md,paper_writing_guidance_package_v2/11_bounded_mechanism_failure_writing_plan.md,V3,true,"moved residual to bounded secondary conclusion",SUPPORTED_WITH_BOUNDARY,"thermal quantity identity",3e1abb95dadef0d374f55f75469fcb7772af21d1
paper_writing_guidance_package_v3/12_spatial_causality_writing_plan_v3.md,paper_writing_guidance_package_v2/12_spatial_causality_writing_plan.md,V3,true,"redefined random robustness test and designed architectures",CONDITIONAL,"designed cases and local fate analysis",5293a159581f922cf4dc559555bca7e3c16c8c13
paper_writing_guidance_package_v3/13_figure_narrative_v3.md,paper_writing_guidance_package_v2/13_figure_narrative_v2.md,V3,true,"eight-figure low-k-window sequence with panel status",MIXED,"Figures 2-6 authority/operator/all21",0c280f1feecb4ea1bf80905f05eea87d0d9eae1c
paper_writing_guidance_package_v3/14_main_text_si_boundary_v3.md,paper_writing_guidance_package_v2/14_main_text_si_boundary_v2.md,V3,true,"retained punchline evidence in main text and audits in SI",MIXED,"conditional main-text numbers",22c1e781d58e6ffff17e299b38b05c6e634f96fb
paper_writing_guidance_package_v3/15_sentence_pattern_library_v3.csv,paper_writing_guidance_package_v2/15_sentence_pattern_library.csv,V3,true,"24 reusable patterns aligned to new story",MIXED,"patterns inherit evidence gates",8f5b275ac37fe2544f8d58f760b73b585d572b79
paper_writing_guidance_package_v3/16_forbidden_overclaims_v3.md,paper_writing_guidance_package_v2/16_forbidden_overclaims.md,V3,true,"added Sheskin Yu random spatial strain zT and authority prohibitions",SUPPORTED,"ongoing wording audit",969cd3a62d018b588fa13bf81b0e5879ee31e929
paper_writing_guidance_package_v3/17_reviewer_risk_matrix_v3.csv,paper_writing_guidance_package_v2/17_reviewer_risk_matrix.csv,V3,true,"20 risks including window naming and punchline novelty",MIXED,"multiple P0/P1 gates",2cbcbe756dbdd796f11758867c05a1f7667f5b50
paper_writing_guidance_package_v3/18_missing_evidence_priority_v3.md,paper_writing_guidance_package_v2/18_missing_evidence_priority.md,V3,true,"reprioritized schema authority all21 identity and operator",SUPPORTED,"execution pending",7424296c57195292b2c69874e5fdc3274ac3347c
paper_writing_guidance_package_v3/19_recommended_target_journal_v3.md,paper_writing_guidance_package_v2/19_recommended_target_journal.md,V3,true,"separated story maturity from readiness across five journals",ANALYTICAL,"submission gates remain open",1601ad792397d7422b55c1fc031ab3717c6b3944
paper_writing_guidance_package_v3/20_executive_writing_guide_v3.md,paper_writing_guidance_package_v2/20_executive_writing_guide.md,V3,true,"frozen positive mechanism-led writing rules",MIXED,"retain qualifiers",dfa39b25938712bc178a9cea3931da820ab88fe3
paper_writing_guidance_package_v3/writing_library_reframe_inventory.md,NONE,V3,true,"Git writing and source hash inventory",SUPPORTED,"self hash recorded outside own table",1b373361c6c749df9a5439a37b0e6ae26eda72fc
paper_writing_guidance_package_v3/writing_library_logic_diff.md,NONE,V3,true,"V2-to-V3 story and claim upgrades/downgrades",ANALYTICAL,"none",8aa26d02842e59c3dbdecb5e7868b2ed84db6c6b
paper_writing_guidance_package_v3/frozen_story_v3_acceptance_report.md,NONE,V3,true,"acceptance decision and objective Acta/npj comparability",ANALYTICAL,"production authority and P0 closure",ef90a956acc2bf27396107e97de9cedb0483107a
paper_writing_guidance_package_v3/updated_writing_library_manifest.csv,NONE,V3,true,"per-file version change evidence dependency and Git blob registry",SUPPORTED,"self-referential blob hash not applicable",SELF_REFERENCE_NOT_APPLICABLE
paper_writing_guidance_package_v3/claim_evidence_matrix_v3.csv,NONE,V3,true,"23 traceable manuscript claims",MIXED,"per-claim dependencies",792c6015b0d2e3ca41ee5cbacf9de51da976f959
paper_writing_guidance_package_v3/latest_writing_library_executive_summary.md,NONE,V3,true,"two-page maximum decision summary",ANALYTICAL,"P0 blockers",5b9ac6cc268349ef6ce3e06dfe98a8a9729d8e2e
paper_writing_guidance_package_v3/complete_writing_library_summary_v3.md,NONE,V3,true,"complete Chinese synthesis of story evidence boundaries journal comparison and execution priorities",MIXED,"inherits all P0 and P1 dependencies",a205586b1a47786e33f7da3282b7d660ace3896c
paper_writing_guidance_package_v3/evidence_snapshot_case001_003_conditional.csv,NONE,V3,true,"conditional structural and V2 transport endpoints",CONDITIONAL,"schema and merge-aware authority",c1d6d5fcc337c1fd3f528f3cc6d77804aabc5677
paper_writing_guidance_package_v3/evidence_snapshot_case001_003_spread.csv,NONE,V3,true,"three-case range-over-mean calculations",CONDITIONAL,"regenerate after authority rerun",ae91bb8b6304bf63206f85e8a9aee2c2413dc9f3
paper_writing_guidance_package_v3/evidence_snapshot_provenance_v3.md,NONE,V3,true,"remote checkpoint and replay hash provenance",SUPPORTED_WITH_BOUNDARY,"remote artifacts not production authority",5dcb7f3d3abb036983746f09e5a0310274855229
paper_writing_guidance_package_v3/final_status.txt,NONE,V3,true,"freeze status",SUPPORTED,"production authority pending",ce775c2f8caa696e5b137add1b87c035cb41678c
