"variable","definition_in_code","definition_in_physics","file","line_or_location","range","conserved_or_nonconserved","maps_to_Ag_count","maps_to_Ag2Te_count","risk_if_misused","status"
"xB / x_B","Pseudo-binary B fraction passed to mu_PbTe/mu_Ag2Te; in GP mode xB_r is xB_alpha","B=Ag2Te growth-unit fraction in PbTe-Ag2Te pseudo-binary","thermo_utils.h; main_cuda.cu","362-375; 2050-2061","clamped to [xB_eps,1-xB_eps] or [0,1]","alpha field is nonconserved variable transformed from conserved storage","One B growth unit contains 2 Ag atoms chemically, but code stores B units, not atoms","1 per B unit","Using this as x_AgI confuses Ag atom/interstitial loading with Ag2Te growth-unit mole fraction","PARTIALLY_DEFINED"
"xB_alpha / x_B^alpha","compute_eta_rhs reads xB_alpha_r; host xBtot_gp uses h_alpha*xB_alpha","Matrix alpha pseudo-binary B=Ag2Te fraction","cuda_kernels.cu; main_cuda.cu","765-801; 7438-7453","[xB_eps,1-xB_eps]","Nonconserved local alpha composition; total xBtot_gp is conserved target","Ag count would be 2*xB_alpha per pseudo-binary B unit if converted chemically","xB_alpha","Directly feeding DFT Ag_i concentration changes reaction basis and reference","PARTIALLY_DEFINED"
"C_B_tot / xBtot","two_phase: (1-h)*xB_alpha+h_beta*v_B; default v_B=1","Total B=Ag2Te growth-unit storage for alpha+beta","main_cuda.cu","1800-1808; 7425-7435","nominal [0,1]","Conserved bookkeeping variable except clipping/events/projection errors","2*xBtot if converting B units to Ag atoms and ignoring reservoirs","xBtot","Mistaking this for atomic Ag fraction overcounts/undercounts depending basis","CONSISTENT"
"xBtot_gp","h_alpha*xB_alpha+h_GP*gp_xB_fixed+h_beta","Total B=Ag2Te growth-unit storage for alpha+GP+beta","main_cuda.cu","2057-2061; 7438-7453","nominal [0,1]","Conserved storage target in GP-zone modes","2*xBtot_gp if converted to Ag atoms under Ag2Te stoichiometry assumption","xBtot_gp","This is not total interstitial Ag concentration unless a validated x_AgI mapping exists","CONSISTENT"
"Y","logit_from_fraction(xB); sigmoid_from_logit(Y)","Numerical logit of alpha B fraction","thermo_utils.h; main_cuda.cu","520-543; 1804-1808","[-Y_clip,Y_clip]","Nonconserved transform; updated to satisfy storage equations","Indirect via xB_alpha only","Indirect via xB_alpha only","Treating Y as chemical potential or Ag occupancy is invalid","CONSISTENT"
"phi_beta / phi","h_beta=h(phi); beta storage contribution h_beta or v_B*h_beta","Order parameter for beta-Ag2Te line-compound fraction","phase_functions.h; main_cuda.cu","27-40; 7425-7435","[0,1]","Nonconserved Allen-Cahn phase field","beta storage corresponds to 2 Ag per B if chemically converted","h_beta*v_B, default h_beta","Confusing phi with composition breaks conservation","CONSISTENT"
"eta_GP / eta","h_GP=(1-h_phi)*h_eta; eta RHS uses GP surrogate chemical drive","Order parameter for GP effective phase","phase_functions.h; cuda_kernels.cu","27-40; 765-865","[0,1]","Nonconserved Allen-Cahn phase field","Stores Ag only through h_GP*gp_xB_fixed pseudo-binary B units","h_GP*gp_xB_fixed","Interpreting eta as an interstitial occupancy y_I is unsupported","PARTIALLY_DEFINED"
"gp_xB_fixed / x_B^GP","Default P->gp_xB_fixed=0.35; storage uses h_GP*gp_xB_fixed","Effective GP B=Ag2Te fraction in pseudo-binary space","main_cuda.cu; pf_params.h","4641-4644; 19-22","clamped positive; normally [0,1]","Parameter for nonconserved GP storage contribution","2*gp_xB_fixed per GP volume if converted to Ag atoms under B-unit convention","gp_xB_fixed","No audited derivation from DFT x_AgI; direct use as x_AgI is likely mixed","MISSING_MAPPING"
"gp_reaction_nu_A, gp_reaction_nu_B","Defaults 0.65,0.35; drive=nu_A*mu_PbTe+nu_B*mu_Ag2Te-mu_GP0","Reaction stoichiometry in pseudo-binary CALPHAD drive for GP","main_cuda.cu; cuda_kernels.cu","4767-4770; 808-828","real coefficients","Parameters, not conserved fields","nu_B corresponds to 2*nu_B Ag atoms if mapped to Ag2Te units","nu_B B units","Can look like x_GP=0.35 but is not DFT x_AgI unless mapped","PARTIALLY_DEFINED"
"v_A, v_B","Physical input default v_A=0,v_B=1; required by parser; phi drive uses mu0-v_A*muA-v_B*muB","Stoichiometric coefficients for beta compound reaction; v_B=1 means pure Ag2Te endpoint","Unit_Psedobinary.py; main_cuda.cu","357-365; 1028-1029; 4458-4462","v_B positive required","Parameters","v_B B unit chemically contains 2 Ag","v_B","If v_B interpreted as Ag atom fraction, phi drive/reference is wrong","CONSISTENT"
"xAg2Te_eq","Python computes xAg2Te_eq_from_T and sets xB_eq=xAg2Te_eq","Alpha solubility in pseudo-binary Ag2Te units","Unit_Psedobinary.py","473-485; 600-603","(0,1)","Parameter/initial condition","2*xAg2Te_eq if converted to Ag atoms under Ag2Te stoichiometry","xAg2Te_eq","Name already says Ag2Te; should not be read as Ag interstitial fraction","CONSISTENT"
"x_AgI","No local code/data definition found; requested DFT/CE directories missing","N_Ag/N_PbTe_FU for DFT Ag interstitial structures per user brief","missing requested sources","Ag_Int, ce_project/data absent","nonnegative; DFT-dependent","DFT composition variable, not PF conserved field","x_AgI Ag atoms per PbTe formula unit","x_AgI/2 only as Ag-count-to-Ag2Te-unit conversion under extra Te assumption","Using x_AgI as xB_alpha or gp_xB_fixed is a reaction-basis error","MISSING_MAPPING"
"y_I","No local code/data definition found; user brief says y_I=x_AgI/M with M=64/32=2","Interstitial site occupancy","missing requested sources","Ag_Int, ce_project/data absent","[0,1] if M=2 and x_AgI<=2","DFT occupancy, not PF conserved field","M*y_I Ag atoms per PbTe FU","M*y_I/2 Ag2Te units only by Ag-count conversion","Cannot be inserted into PF thermodynamics as xB","MISSING_MAPPING"
"Te conservation/reservoir","No explicit Te conserved field found; pseudo-binary assumes A=PbTe and B=Ag2Te units","Te is embedded in growth units, not separately conserved","thermo_utils.h; Unit_Psedobinary.py","338-375; 421-471","not a field","Implicit reservoir/compound-unit bookkeeping","Ag count not independently conserved from Te count in code","Ag2Te units carry Te by construction","DFT Ag_i branch has no added Te, so mapping to Ag2Te requires a Te/reaction assumption","PARTIALLY_DEFINED"
