result_id,path_or_pattern,case_id,grid,temperature,time_range,code_commit,binary_hash,config_hash,thermodynamic_contract,contract_hash,classification,allowed_for_main_text,allowed_for_sensitivity,requires_rerun,notes
R001,"reports/pf_246cube_method1_production_authority_v1/source/{A,B,C}",A/B/C,246^3,380C,6-48h,varies,recorded_per_source,recorded_per_source,legacy_or_unknown,absent,LEGACY_THERMODYNAMICS,no,yes,yes,do_not_relabel_as_exact
R002,reports/pf_246cube_three_seed_library_handoff_v1,A/B/C,246^3,380C,6h_fixture,varies,recorded_per_manifest,recorded_per_manifest,legacy_or_unknown,absent,LEGACY_THERMODYNAMICS,no,yes,yes,fixtures_not_exact_contract_evidence
R003,reports/pf_full_psd_no_dislocation_transport_v1,ensemble,246^3,transport_temperatures,6-48h,varies,recorded,recorded,PF_snapshot_legacy_derived,absent,LEGACY_THERMODYNAMICS,no,yes,yes,transport_inherits_PF_matrix_PSD_provenance
R004,reports/pf_method1_abc_hourly_no_dislocation_transport_v1,A/B/C,246^3,transport_temperatures,6-48h,varies,recorded,recorded,PF_snapshot_legacy_derived,absent,LEGACY_THERMODYNAMICS,no,yes,yes,do_not_mix_with_exact_runtime
R005,reports/pf_400cube_fixed_xb03_elastic_psd_sign_pilot_v1,pilot,400^3,380C,partial_cancelled,varies,recorded,recorded,legacy_or_unknown,absent,MIXED_OR_INCONSISTENT,no,yes,yes,requires_contract_identity_before_reuse
R006,reports/pf_400cube_psd_spatial_density_ladder_production_v1,001-021,400^3,380C,not_final,1c08f9e_remote_dirty,attempt_specific,attempt_specific,not_recorded,absent,MIXED_OR_INCONSISTENT,no,yes,yes,static_short_qualification_not_final_production
R007,data/qualification/pf_elastic_target_profile_quarter_nm_v2,profiles,96^3_derived,380C,fixture_generation,varies,manifest_hashes,manifest_hashes,legacy_source_unless_proven,absent,LEGACY_THERMODYNAMICS,no,yes,yes,rebuild_or_contract_label_required
R008,reports/equilibrium_audit_v1/chemical_flat_equilibrium_root.csv,T380,analytic,380C,static,6b69895af2d1b86b99c57c5479ff767349c61efe,not_applicable,not_applicable,legacy,absent,LEGACY_THERMODYNAMICS,no,yes,yes,valid_legacy_audit_only
R009,old_checkpoints_and_restart_libraries,unknown,various,unknown,various,various,various,various,unknown,absent,THERMODYNAMICS_UNKNOWN,no,yes,yes,exact_binary_must_refuse_until_identity_known
R010,exact_contract_results,none,none,none,none,none,none,none,exact,none,PLANNED_NOT_RUN,no,yes,yes,exact_contract_not_established
