allocation_id,source_file,function,source_line,buffer_name,dtype,elements_formula,bytes_at_400cube,bytes_per_cell,grid_dependence,lifetime,physics_owner,solver_owner,first_use,last_use,read_kernels,write_kernels,rollback_requirement,checkpoint_requirement,restart_requirement,fft_requirement,mechanics_requirement,gp_requirement,can_reconstruct,can_alias,can_allocate_lazily,can_compress_dtype,baseline_active,optimized_active,optimization,current_reason
PF001,main_cuda.cu,main,30146,d_bbox_mins,int32,3,12,1.875e-07,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,initial diagnostics,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,already compact/scalar,yes,yes,retained,persistent diagnostic packet
PF002,main_cuda.cu,main,30147,d_bbox_maxs,int32,3,12,1.875e-07,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,initial diagnostics,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,already compact/scalar,yes,yes,retained,persistent diagnostic packet
PF003,main_cuda.cu,main,30148,d_boundary_sum,float64,1,8,1.25e-07,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,initial diagnostics,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent diagnostic packet
PF004,main_cuda.cu,main,30149,d_boundary_count,uint64,1,8,1.25e-07,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,initial diagnostics,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,already compact/scalar,yes,yes,retained,persistent diagnostic packet
PF005,main_cuda.cu,main,30438,d_phi_r,float64,N,512000000,8.0,cell,persistent authoritative,PF_ONLY,transport/phase transaction,initialization,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,yes,yes,yes,yes,no,conditional,no,conditional,no,yes,yes,retained,persistent authoritative
PF006,main_cuda.cu,main,30439,d_Y_r,float64,N,512000000,8.0,cell,persistent derived context,PF_ONLY,transport/phase transaction,context initialization,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,yes,yes,yes,no,no,conditional,no,conditional,no,yes,yes,retained,persistent derived context
PF007,main_cuda.cu,main,30440,d_xB_r,float64,N,512000000,8.0,cell,persistent derived context,PF_ONLY,transport/phase transaction,context initialization,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,reconstructed,yes,yes,no,yes,no,yes,no,conditional,no,yes,yes,retained,persistent derived context
PF008,main_cuda.cu,main,30441,d_phi_rhs_r,float64,N,512000000,8.0,cell,persistent shared scratch,PF_ONLY,transport/phase transaction,phase solve,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,yes,no,conditional,d_lapY_r,conditional,no,yes,yes,retained,persistent shared scratch
PF009,main_cuda.cu,main,30442,d_phi_n_saved,float64,N,512000000,8.0,cell,persistent accepted history,PF_ONLY,transport/phase transaction,attempt/history save,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,yes,yes,yes,yes,no,conditional,no,conditional,no,yes,yes,retained,persistent accepted history
PF010,main_cuda.cu,main,30444,d_Y_n_saved,float64,N,512000000,8.0,cell,persistent rollback context,PF_ONLY,transport/phase transaction,attempt save,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,yes,yes,no,no,no,yes,no,conditional,no,yes,no,M5_DERIVED_Y_RECONSTRUCTION,persistent rollback context
PF011,main_cuda.cu,main,30451,d_ctot_accepted_r,float64,N,512000000,8.0,cell,persistent authoritative,PF_ONLY,transport/phase transaction,Ctot initialization,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,yes,yes,no,yes,no,conditional,pointer-rotation candidate,conditional,no,yes,yes,retained,persistent authoritative
PF012,main_cuda.cu,main,30452,d_ctot_work_r,float64,N,512000000,8.0,cell,attempt trial,PF_ONLY,transport/phase transaction,attempt start,attempt commit/reject,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,yes,no,conditional,pointer-rotation candidate,conditional,no,yes,yes,retained,attempt trial
PF013,main_cuda.cu,main,30453,d_ctot_saved_r,float64,N,512000000,8.0,cell,attempt rollback anchor,PF_ONLY,transport/phase transaction,attempt save,attempt commit/reject,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,yes,no,conditional,pointer-rotation candidate,conditional,no,yes,yes,retained,attempt rollback anchor
PF014,main_cuda.cu,main,30454,d_ctot_trial_r,float64,N,512000000,8.0,cell,attempt scratch,PF_ONLY,transport/phase transaction,transport/phase trial,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,yes,no,conditional,conditional scratch reuse,conditional,no,yes,yes,retained,attempt scratch
PF015,main_cuda.cu,main,30456,d_ctot_history_nm1_r,float64,N,512000000,8.0,cell,persistent history,PF_ONLY,transport/phase transaction,BDF2 context,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,yes,yes,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent history
PF016,main_cuda.cu,main,30457,d_phi_history_nm1_r,float64,N,512000000,8.0,cell,persistent history,PF_ONLY,transport/phase transaction,BDF2 context,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,yes,yes,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent history
PF017,main_cuda.cu,main,30458,d_ctot_transport_anchor_r,float64,N,512000000,8.0,cell,attempt anchor,PF_ONLY,transport/phase transaction,BDF2 predictor,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,attempt anchor
PF018,main_cuda.cu,main,30459,d_phi_transport_context_r,float64,N,512000000,8.0,cell,attempt context,PF_ONLY,transport/phase transaction,BDF2 predictor,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,attempt context
PF019,main_cuda.cu,main,30462,d_ctot_event_macro_start_r,float64,N,512000000,8.0,cell,event rollback,PF_ONLY,transport/phase transaction,event transaction,macro commit/reject,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,lazy-allocation candidate,yes,no,yes,no,M1_LAZY_EVENT_SNAPSHOT,event rollback
