claim_id,exact_claim,claim_level,evidence_file,evidence_location,status,allowed_language,forbidden_overclaim,main_text_or_si
C01,"Sheskin's 6→48 h trajectory contains an interface-rich low-κ state followed by coarsening and κ recovery",MATERIAL_FRAMING,"reports/sheskin_pf_interface_strain_blind_prediction_v1/sheskin_microstructure_source_table.csv; tmp/pdfs/sheskin/sheskin.txt","source table; Sheskin Results/Conclusions",SUPPORTED,"exhibits; accompanies; defines trajectory","highest-zT window; complete zT trajectory",MAIN
C02,"APT, SEM/TEM and PF segmentation observe non-identical object populations",IDENTITY,"reports/sheskin_pf_interface_strain_blind_prediction_v1/experimental_identity_audit.md; literature/acta_writing_analysis_v2/08_targeted_precedent_analysis.md","object identity sections",SUPPORTED,"distinguish; constrain; motivate","all Ag-rich objects are stoichiometric beta",MAIN
C03,"The 6 h resolved-beta population is represented by experimentally admissible ensembles rather than a unique reconstruction",METHOD_IDENTITY,"fixture manifests; paper_writing_guidance_package_v3/10_observation_operator_writing_plan_v3.md","ensemble/Methods contract",SUPPORTED,"construct; condition; constrain","reconstruct; recover true state",MAIN
C04,"The PF model propagates globally conserved coherent-elastic post-nucleation evolution",MODEL_SCOPE,"PROJECT_CORE_MEMORY.md; checkpoint segment audits","production model and audit sections",SUPPORTED_WITHIN_CONTRACT,"propagate; simulate; qualify","predict absolute nucleation",MAIN
C05,"Cases 001–003 share REF_BROAD_METHOD1LIKE PSD, 512 particles, inventory, physics and numerics",CONTROL_DESIGN,"reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/campaign_case_manifest.csv; remote fixture manifests","cases 001–003",SUPPORTED,"hold fixed; differ only in realization","represent all spatial structures",MAIN
C06,"Cases 001–003 reach complete 48 h checkpoints",NUMERICAL_COMPLETION,"remote attempts 001/002/003 checkpoints step_152585.chk","final checkpoints and segment status",SUPPORTED_CHECKPOINT_ONLY,"reach; complete checkpoint chain","production-authority analysis passes",SI
C07,"Case 001–003 final populations are 21/19/21 and mean radii are 24.561/25.402/24.916 nm",STRUCTURAL_RESULT,"paper_writing_guidance_package_v3/evidence_snapshot_case001_003_conditional.csv","rows 001–003",CONDITIONAL,"yield; contain; conditional endpoints","final production values",MAIN_AFTER_AUTHORITY
C08,"Case 001–003 final Sv values are 2.6327/2.5397/2.6654e6 m-1 and M6 values are 137.03/168.75/126.18 nm3",STRUCTURAL_RESULT,"paper_writing_guidance_package_v3/evidence_snapshot_case001_003_conditional.csv","rows 001–003",CONDITIONAL,"yield; span; differ","operator-matched experimental values",MAIN_AFTER_AUTHORITY
C09,"Mean-radius, Sv and M6 case ranges are 3.37%, 4.81% and 29.56% of their means",COMPARATIVE_RESULT,"paper_writing_guidance_package_v3/evidence_snapshot_case001_003_spread.csv","rows 1–3",CONDITIONAL,"range; indicates relative sensitivity","converged ensemble variance",MAIN_AFTER_AUTHORITY
C10,"At fixed PSD random realization changes particle survival and the large-size tail",MECHANISM_INFERENCE,"conditional 400cube tracker snapshots; reports/pf_246cube_hourly_merge_dissolution_ABC_v1/analysis.md","M6/survival comparisons",CONDITIONAL,"shows in examined cases; indicates; selects","proves designed spatial control",MAIN
C11,"V2 MI recovery at 573.15 K is 4.10/4.21/4.07% for Cases 001–003",TRANSPORT_RESULT,"paper_writing_guidance_package_v3/evidence_snapshot_case001_003_conditional.csv","rows 001–003",CONDITIONAL_WITHIN_FROZEN_V2,"predicts; yields","validates measured total kappa",MAIN_AFTER_AUTHORITY
C12,"The Case 001–003 Δkappa spread is about 3.29% of its mean signal",ROBUSTNESS_RESULT,"paper_writing_guidance_package_v3/evidence_snapshot_case001_003_spread.csv","delta_kappa row",CONDITIONAL_WITHIN_FROZEN_V2,"comparatively robust across three cases","space has no effect on thermal transport",MAIN_AFTER_AUTHORITY
C13,"The coarsening pathway is spatially sensitive whereas the modeled thermal response is comparatively robust",PRIMARY_MECHANISM,"C09-C12","paired spread comparison",CONDITIONAL,"reveals within examined cases; separates","universal spatial robustness",MAIN
C14,"PSD defines the available size hierarchy",MECHANISM_STRUCTURE,"full PSD/particle fate evidence; 21-case design","polydisperse competition",PARTIAL,"defines hierarchy; structures competition","quantified between-PSD effect established",MAIN_DISCUSSION
C15,"Spatial organization selects the survival pathway",MECHANISM_INFERENCE,"C10; 246cube A/B/C authority","fixed-PSD realizations",CONDITIONAL,"selects; biases; modulates","named causal descriptor or processing control proven",MAIN_DISCUSSION
