report_path,status,final_status,scientific_scope,supersedes,superseded_by,retain_or_delete,reason
reports/DIAGNOSTIC_SWITCHES_RETIREMENT_TRIAGE.md,UNVERIFIED,,reports,,,RETAIN,no machine-readable final status or supersession relation found
reports/GP_ZONE_ETA_DYNAMICS_REPORT.md,CURRENT_PARTIAL,,reports,,,RETAIN,partial result retained for provenance
reports/NEXT_WORKORDER_RECOMMENDATION.md,UNVERIFIED,,reports,,,RETAIN,no machine-readable final status or supersession relation found
reports/PHI_ETA_ITERATION_CONSISTENCY_AUDIT.md,UNVERIFIED,,reports,,,RETAIN,no machine-readable final status or supersession relation found
reports/T400_shrink_matrix_supply_vs_curvature_analysis/T400_shrink_matrix_supply_vs_curvature_analysis_report.md,CURRENT_ACCEPTED,PASS_T400_SHRINK_CAUSAL_TEST_MATRIX_SUPPLY_VS_CURVATURE,T400 shrink matrix supply vs curvature analysis,,,RETAIN,acceptance/validation evidence found
reports/T400_shrink_matrix_supply_vs_curvature_analysis/gibbs_thomson_surface_energy_offset_estimate.md,UNVERIFIED,,T400 shrink matrix supply vs curvature analysis,,,RETAIN,no machine-readable final status or supersession relation found
reports/T400_shrink_matrix_supply_vs_curvature_analysis/matrix_vs_equilibrium_solubility_comparison.md,UNVERIFIED,,T400 shrink matrix supply vs curvature analysis,,,RETAIN,no machine-readable final status or supersession relation found
reports/T400_shrink_matrix_supply_vs_curvature_analysis/surface_energy_and_interface_width_check.md,UNVERIFIED,,T400 shrink matrix supply vs curvature analysis,,,RETAIN,no machine-readable final status or supersession relation found
reports/aq_gp_caseA_unitcell_closure/caseA_sheskin_yu_gp_unitcell_mass_closure_report.md,UNVERIFIED,,aq gp caseA unitcell closure,,,RETAIN,no machine-readable final status or supersession relation found
reports/aq_gp_molar_volume_closure/aq_gp_molar_volume_mass_closure_report.md,UNVERIFIED,,aq gp molar volume closure,,,RETAIN,no machine-readable final status or supersession relation found
reports/audit_STO_SM_vs_cuda_Y_equation.md,CURRENT_ACCEPTED,,reports,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_gated_handoff/beta_capacity_gated_handoff_acceptance_report.md,CURRENT_ACCEPTED,PASS_STAGED_GP_BETA_SCAFFOLD_READY_DIRECT_HANDOFF_NONLOCAL,beta capacity gated handoff,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_gated_handoff/beta_handoff_method_writing_module.md,CURRENT_ACCEPTED,,beta capacity gated handoff,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_gated_handoff/phase0_state_summary.md,CURRENT_ACCEPTED,,beta capacity gated handoff,,,RETAIN,acceptance/validation evidence found
