risk_id,topic,likely_reviewer_comment,current_evidence,status,response_strategy,minimum_closure,acta_impact,npj_impact,blocking
R01,low-k window naming,"Is this only a relabeling of ordinary coarsening?","Sheskin microstructure and κ trajectory; Sv-based model interpretation",PARTIAL,"define window quantitatively as interface-rich finite-lifetime state","show aligned 6/48 h κ microstructure and Sv logic","medium","medium",NO
R02,non-unique 6h population,"The initial population is arbitrary","inventory chemistry observation constraints; synthetic fixtures",PARTIAL,"make admissibility and non-identifiability explicit","implement H_obs and show ensemble bounds","high","high",YES
R03,APT versus SEM/PF identity,"Objects are not comparable","four-class distinction; source tables",PARTIAL,"separate classes and compare only common observables","minimum operator plus sensitivity","high","high",YES
R04,only three spatial realizations,"Three seeds do not define uncertainty","246³ authority plus conditional 400³ cases",CONDITIONAL,"call robustness test not converged ensemble","authority rerun and more seeds/designed cases","high","medium",YES
R05,random versus designed space,"Random seeds cannot establish spatial control","designed architectures listed but not run",PENDING,"separate uncertainty from control","clustered/uniform/size-correlated contrasts","high","medium",YES
R06,PSD claim strength,"Where is the controlled between-PSD evidence?","polydisperse hierarchy; 21-case design incomplete",PARTIAL,"limit current claim to available hierarchy","complete PSD families and factorial statistics","high","medium",YES
R07,Sv causality,"Sv may only correlate with time","V2 interface equation and similar case response",CONTRACT_BOUNDED,"state within-contract mechanism and test orthogonal architectures","designed cases separating Sv from M6/space","high","medium",YES
R08,M6 interpretation,"Is M6 being treated as a transport control?","descriptor audits and full-PSD authority",SUPPORTED,"define M6 as large-tail descriptor","retain full PSD and compression errors","medium","medium",NO
R09,thermal quantity identity,"Modeled lattice-style κ is compared with measured total κ","identity audit exists",BLOCKED,"harmonize κL/κe or bound comparison explicitly","freeze thermal quantity contract","high","high",YES
R10,transport calibration versus prediction,"The interface term was fit at 6 h","data-role ledger and frozen 48 h comparison",SUPPORTED_WITH_BOUNDARY,"call calibration closure plus frozen postdiction","show no 48 h refit and uncertainty members","medium","high",NO
R11,transport magnitude,"4% is much smaller than experiment","bounded 2.1–7.3% envelope versus about 21.2%",SUPPORTED_WITH_BOUNDARY,"make residual secondary and non-unique","quantity harmonization plus independent channel tests","medium","medium",NO
R12,Sheskin/Yu mixing,"The manuscript combines incompatible datasets","separate reports and required sentence",SUPPORTED,"state roles in Methods captions and Discussion","full citation/data-role audit","high","high",YES
R13,conditional postprocessing,"Case values come from blocked lineage/schema analysis","complete checkpoints; conditional tracker; schema failure documented",CONDITIONAL,"label every number and preserve source hashes","repair 512 schema and freeze merge-aware rerun","high","high",YES
R14,thermodynamic contract,"Which free energy generated the trajectories?","legacy runtime and exact candidate conflict documented",BLOCKED,"state legacy provenance and rerun/sensitivity","freeze one publication contract","high","high",YES
R15,finite size,"Are pathway and Sv results box-size artifacts?","246 and 400 results not matched",PENDING,"avoid RVE/convergence language","matched 246↔400 bridge","high","high",YES
R16,missing processing control,"Why make a design claim without temperature/strain tests?","routes are hypotheses only",PENDING,"use testable-route wording","one thermal-history and one elastic-bias proof-of-concept","high","low",YES
R17,observation uncertainty,"Threshold/watershed choices may change Nv PSD Sv","operator plan only",BLOCKED,"preregister and sweep θobs","synthetic recovery plus experiment-resolution sweep","high","high",YES
R18,full zT relevance,"Thermoelectric performance also depends on electronic transport","model scope explicitly excludes S and sigma",SUPPORTED_WITH_BOUNDARY,"call low-k not high-zT window","keep zT outside claim or add independent model","medium","medium",NO
R19,reproducibility,"Can the workflow and cases be rerun?","hashes/manifests local; publication archive absent",PARTIAL,"publish versioned code inputs outputs and instructions","frozen archive/DOI","low","high",YES
R20,idea novelty,"Is pathway/outcome separation obvious?","paired structural and thermal spread; comparator analysis",CONDITIONAL,"quantify unequal sensitivities and tie them to Sv/M6 roles","authority rerun plus designed decorrelation test","high","high",YES
