root_file,first_references_in_code_scripts_readme,retained_reason
comparison_summary.md,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:649:        ""- `comparison_summary.md`"",; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:733:    parser.add_argument(""--comparison-summary"", type=Path, default=REPO_ROOT / ""comparison_summary.md"")",default output path / hardcoded reference
nucleation_physics_observables_report.md,"/Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:438:    write_report(args.root, events, rates, gp_effect, args.output_dir / ""nucleation_physics_observables_report.md"")",default output path / hardcoded reference
nucleus_energy_output_index.md,"/Users/heng/Documents/GitHub/CUDA_STO_PF/nucleus_selector.py:18:DEFAULT_INDEX = REPO_ROOT / ""nucleus_energy_output_index.md""",default output path / hardcoded reference
nucleus_selector_integration_report.md,"/Users/heng/Documents/GitHub/CUDA_STO_PF/nucleus_selector.py:19:DEFAULT_REPORT = REPO_ROOT / ""nucleus_selector_integration_report.md""",default output path / hardcoded reference
quantitative_validation_summary.md,"/Users/heng/Documents/GitHub/CUDA_STO_PF/normalize_nucleation_physical_units.py:617:    parser.add_argument(""--validation-summary"", type=Path, default=REPO_ROOT / ""quantitative_validation_summary.md"")",default output path / hardcoded reference
validation_layer_report.md,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:539:    publication = write_report(metrics, predictions, observations, comparisons, gp_rows, REPO_ROOT / ""validation_layer_report.md"")",default output path / hardcoded reference
validation_minimal_loop_report.md,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:734:    parser.add_argument(""--validation-report"", type=Path, default=REPO_ROOT / ""validation_minimal_loop_report.md"")",default output path / hardcoded reference
cnt_prediction_table.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:647:        ""- `cnt_prediction_table.csv`"",; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:731:    parser.add_argument(""--cnt-prediction"", type=Path, default=REPO_ROOT / ""cnt_prediction_table.csv""); /Users/heng/Documents/GitHub/CUDA_STO_PF/normalize_nucleation_physical_units.py:331:    return read_csv(REPO_ROOT / ""cnt_prediction_table.csv"")",default output path / hardcoded reference
comparison_report.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:648:        ""- `comparison_report.csv`"",; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:655:        lines.append(""Quantitative rate comparison points exist, so trend comparison can be evaluated from `comparison_report.csv`.""); /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:732:    parser.add_argument(""--comparison-report"", type=Path, default=REPO_ROOT / ""comparison_report.csv"")",default output path / hardcoded reference
continuous_physics_summary.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:101:    continuous_path = REPO_ROOT / ""continuous_physics_summary.csv""",default output path / hardcoded reference
cuda_nucleation_observation.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:644:        ""- `cuda_nucleation_observation.csv`"",; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:728:    parser.add_argument(""--cuda-observation"", type=Path, default=REPO_ROOT / ""cuda_nucleation_observation.csv"")",default output path / hardcoded reference
cuda_nucleation_spatial_density.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:645:        ""- `cuda_nucleation_spatial_density.csv`"",; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:729:    parser.add_argument(""--spatial-density"", type=Path, default=REPO_ROOT / ""cuda_nucleation_spatial_density.csv"")",default output path / hardcoded reference
cuda_nucleation_time_histogram.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:646:        ""- `cuda_nucleation_time_histogram.csv`"",; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:730:    parser.add_argument(""--time-histogram"", type=Path, default=REPO_ROOT / ""cuda_nucleation_time_histogram.csv"")",default output path / hardcoded reference
external_prediction_validation.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/run_gp_external_prediction_validation.py:180:    csv_path = ROOT / ""external_prediction_validation.csv""",default output path / hardcoded reference
gp_effect_analysis.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:362:- `gp_effect_analysis.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:387:Computed in `gp_effect_analysis.csv` only when paired GP and no-GP event groups exist at the same T and xB.; /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:436:    gp_effect = write_gp_effect(barriers, rates, args.output_dir / ""gp_effect_analysis.csv"")",default output path / hardcoded reference
gp_validation_report.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:468:- `gp_validation_report.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:498:Not established. `gp_validation_report.csv` has no paired GP/no-GP observation group at the same T and xB.; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:538:    gp_rows = build_gp_validation(observations, barriers, REPO_ROOT / ""gp_validation_report.csv"")",default output path / hardcoded reference
normalized_cnt_prediction.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/normalize_nucleation_physical_units.py:614:    parser.add_argument(""--normalized-cnt"", type=Path, default=REPO_ROOT / ""normalized_cnt_prediction.csv"")",default output path / hardcoded reference
normalized_nucleation_rate.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/normalize_nucleation_physical_units.py:613:    parser.add_argument(""--normalized-rate"", type=Path, default=REPO_ROOT / ""normalized_nucleation_rate.csv"")",default output path / hardcoded reference
nucleation_barrier_estimate.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:154:    barriers = read_csv(REPO_ROOT / ""nucleation_barrier_estimate.csv""); /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:360:- `nucleation_barrier_estimate.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:369:Computed in `nucleation_barrier_estimate.csv` when event waiting times or event probabilities are available.",default output path / hardcoded reference
nucleation_barrier_observed.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:466:- `nucleation_barrier_observed.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:535:    barriers = build_observed_barrier_table(observations, REPO_ROOT / ""nucleation_barrier_observed.csv"", args.tau0)",default output path / hardcoded reference
nucleation_event_log.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/normalize_nucleation_physical_units.py:609:    parser.add_argument(""--event-log"", type=Path, default=REPO_ROOT / ""nucleation_event_log.csv""); /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:153:    events = read_csv(REPO_ROOT / ""nucleation_event_log.csv""); /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:216:            ""observation_source"": ""nucleation_event_log.csv"",",default output path / hardcoded reference
nucleation_observation_table.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:465:- `nucleation_observation_table.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:534:    observations = build_observation_table(REPO_ROOT / ""nucleation_observation_table.csv"")",default output path / hardcoded reference
nucleation_prediction_table.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:464:- `nucleation_prediction_table.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:533:    predictions = build_prediction_table(REPO_ROOT / ""nucleation_prediction_table.csv""); /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_minimal_physics_loop.py:725:    parser.add_argument(""--prediction-table"", type=Path, default=REPO_ROOT / ""nucleation_prediction_table.csv"")",default output path / hardcoded reference
nucleation_rate_J.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:155:    rates = read_csv(REPO_ROOT / ""nucleation_rate_J.csv""); /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:361:- `nucleation_rate_J.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:393:Computed in `nucleation_rate_J.csv` as:",default output path / hardcoded reference
nucleus_shape_statistics.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:363:- `nucleus_shape_statistics.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:403:Computed in `nucleus_shape_statistics.csv` from event-level shape labels.; /Users/heng/Documents/GitHub/CUDA_STO_PF/analyze_nucleation_event_observables.py:437:    write_shape_stats(events, args.output_dir / ""nucleus_shape_statistics.csv"")",default output path / hardcoded reference
observed_barrier_reconstruction.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/normalize_nucleation_physical_units.py:615:    parser.add_argument(""--observed-barrier"", type=Path, default=REPO_ROOT / ""observed_barrier_reconstruction.csv"")",default output path / hardcoded reference
quantitative_validation_table.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/normalize_nucleation_physical_units.py:616:    parser.add_argument(""--validation-table"", type=Path, default=REPO_ROOT / ""quantitative_validation_table.csv"")",default output path / hardcoded reference
validation_comparison_table.csv,"/Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:467:- `validation_comparison_table.csv`; /Users/heng/Documents/GitHub/CUDA_STO_PF/validate_nucleation_theory_vs_cuda.py:536:    comparisons = build_comparison(predictions, observations, barriers, REPO_ROOT / ""validation_comparison_table.csv"")",default output path / hardcoded reference
