"reference_name","source_type","source_file","value","unit","SOC_status","used_for","reaction_basis","compatible_with_DFT_AgI","compatible_with_CALPHAD_Ag2Te","compatible_with_PF_xB","risk_level","notes"
"E(Pb32Te32)","DFT","missing Ag_Int/ce_project sources","not available locally","eV/supercell expected","unknown","DFT Ag-interstitial formation energies per user brief","PbTe host + n Ag -> PbTe:Ag_i","YES if same DFT setup","NO direct compatibility","NO direct compatibility","HIGH","Requested DFT/CE source files are absent; cannot audit numerical value or SOC/ISIF status."
"mu_Ag_metal","DFT","missing Ag_Int/ce_project sources","not available locally","eV/Ag expected","unknown","DFT Ag interstitial reference per user brief","Ag metal reservoir","YES if same DFT setup","NO direct compatibility with Ag2Te component mu_B","NO direct compatibility","HIGH","No local evidence of value; cannot mix with CALPHAD mu_Ag2Te without reaction conversion."
"Ag2Te DFT reference","DFT","missing Ag_Int/ce_project sources","not found","eV/formula expected","unknown","Potential bridge between DFT and Ag2Te pseudo-binary","Ag2Te line compound","Only via separate DFT thermodynamic cycle","Possibly after fitted offset","Possibly after conversion","HIGH","No local DFT Ag2Te reference found."
"PbTe primitive DFT reference","DFT","missing Ag_Int/ce_project sources","not found","eV/formula expected","unknown","Potential bridge/reference alignment","PbTe line compound","Only via DFT setup alignment","Possibly after fitted offset","Possibly after conversion","HIGH","No local primitive DFT reference found."
"Te reference","DFT/CALPHAD","missing DFT sources; thermo_utils.h has GHSER_Te","GHSER_Te formula in thermo_utils.h 330-335","J/mol SER for CALPHAD","not applicable","CALPHAD Ag2Te/PbTe endpoints","SER Te reference","NO for DFT without offset","YES","YES via CALPHAD","MEDIUM","DFT Te chemical potential absent; CALPHAD Te SER exists."
"GHSER_Pb","CALPHAD","thermo_utils.h","piecewise formula lines 314-320","J/mol Pb SER","not applicable","PbTe endpoint","CALPHAD SER","NO","YES","YES","LOW","CUDA implementation is the authoritative PF path."
"GHSER_Ag","CALPHAD","thermo_utils.h","piecewise formula lines 322-328","J/mol Ag SER","not applicable","Ag2Te endpoint","CALPHAD SER","NO","YES","YES","LOW","This is not metallic-Ag DFT chemical potential."
"GHSER_Te","CALPHAD","thermo_utils.h","piecewise formula lines 330-335","J/mol Te SER","not applicable","PbTe and Ag2Te endpoints","CALPHAD SER","NO","YES","YES","LOW","CALPHAD reference only."
"G_PbTe_Solid","CALPHAD/PF","thermo_utils.h","(-76063.2138+9.67716633*T)+GHSER_Pb+GHSER_Te","J/mol PbTe","not applicable","PbTe endpoint and GP mechanical mixture","PbTe line compound in pseudo-binary","NO direct","YES","YES","MEDIUM","Can only bridge to DFT with explicit offset/reaction cycle."
"G_Ag2Te_Solid","CALPHAD/PF","thermo_utils.h","3*((-10128.93-12.645115*T)+(2/3)GHSER_Ag+(1/3)GHSER_Te)","J/mol Ag2Te","not applicable","Ag2Te endpoint, beta drive, GP mechanical mixture","Ag2Te line compound in pseudo-binary","NO direct","YES","YES","MEDIUM","Not an Ag_i cluster reference."
"mu_PbTe_calphad","CALPHAD/PF","thermo_utils.h","G_PbTe+RT ln(1-xB)+L*xB^2","J/mol component","not applicable","alpha chemical potential","PbTe-Ag2Te pseudo-binary","NO","YES","YES","MEDIUM","Requires xB=Ag2Te unit fraction."
"mu_Ag2Te_calphad","CALPHAD/PF","thermo_utils.h","G_Ag2Te+RT ln(xB)+L*(1-xB)^2","J/mol component","not applicable","alpha chemical potential and GP raw drive","PbTe-Ag2Te pseudo-binary","NO","YES","YES","MEDIUM","Not mu_Ag metal or interstitial Ag chemical potential."
"mu0_compound","PF","main_cuda.cu","computed as v_weighted_mu_compound(muA_eq,muB_eq,v_A,v_B); default v_A=0,v_B=1","dimensionless","not applicable","phi beta compound reference","Ag2Te endpoint in PF","NO","YES","YES","LOW","Derived from CALPHAD equilibrium xB_eq and mu_reference_scale."
"mu_reference_scale","PF nondimensionalization","Unit_Psedobinary.py; main_cuda.cu","mu_reference=w/c_tot_phys; required nonzero","J/mol","not applicable","nondimensionalizes chemical potentials","PF energy-density scale","NO","YES after CALPHAD conversion","YES","LOW","Scale only; does not align DFT and CALPHAD references."
"w_ref / energy density scale","PF nondimensionalization","Unit_Psedobinary.py","w=12*gamma/lambda_sm; f0_elastic=w","J/m^3","not applicable","interface/elastic/PF scaling","PF STO scaling","NO","YES after PF conversion","YES","LOW","Not a thermodynamic zero."
